mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__scale_pos_weight,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2969793796539306,0.029043138363534653,0.08922815322875977,0.002328167349857206,0.9,0.4,0.08,4,5,90,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 90, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8624177810309599,0.8848016109090221,0.8470097296422121,0.873431364128384,0.8635078471468932,0.8662336665714943,0.01255488934317621,167
1.2493932723999024,0.04088384751095717,0.0903104305267334,0.001379675738926577,0.9,0.4,0.08,4,5,90,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 90, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8627957024328406,0.8832278514497716,0.8464537349469488,0.8724705330570109,0.8618040560858816,0.8653503755944907,0.01221872783909654,260
1.5184850215911865,0.06639257538212238,0.11473078727722168,0.016982952508108436,0.9,0.4,0.08,4,5,110,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 110, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8636156447650039,0.8857233780710168,0.8481028098450567,0.8743583783825554,0.8638236062787937,0.8671247634684853,0.012516228843997676,6
1.5113296508789062,0.08364019133607999,0.111732816696167,0.009181995582253298,0.9,0.4,0.08,4,5,110,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 110, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.862841962228474,0.8854497499941797,0.8477072433091447,0.8743447646031893,0.8637264974673365,0.8668140435204649,0.012604614238729592,50
1.4848955631256104,0.05207843726554004,0.10633249282836914,0.005993749055982303,0.9,0.4,0.08,4,5,110,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 110, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8637153967270451,0.8843434314384347,0.846910583589642,0.8728970045680391,0.8626228506073134,0.8660978533860948,0.012369580765293726,187
1.7140007972717286,0.06646252076998813,0.12363662719726562,0.013219228843547232,0.9,0.4,0.08,4,5,130,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 130, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8634574935454217,0.8849708668238953,0.8478297888639449,0.8743774168215416,0.864427198890871,0.8670125529891349,0.012361579170980205,19
1.6941672801971435,0.08121795170128802,0.121006441116333,0.005418418889113508,0.9,0.4,0.08,4,5,130,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 130, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8630070070653685,0.8859598155823373,0.8478592370957522,0.8742179757447655,0.8645554266939526,0.8671198924364351,0.012647455440269212,8
1.6964760780334474,0.07566850027043505,0.12868852615356446,0.026411862911589198,0.9,0.4,0.08,4,5,130,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 130, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8638088155732168,0.8844698751906642,0.8471607584828026,0.8734172839615202,0.8634462163643754,0.8664605899145158,0.012339625574309994,124
1.358723258972168,0.018470174062654172,0.10590777397155762,0.003675236146995814,0.9,0.4,0.08,5,3,90,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 5, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 90, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8641036140302016,0.8840061635576075,0.8480107690278209,0.8734987680171032,0.8645504956071587,0.8668339620479785,0.01188516519070748,47
1.3966685771942138,0.050811153580033484,0.10631556510925293,0.002658438336911947,0.9,0.4,0.08,5,3,90,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.4, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 5, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 90, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8637792278176597,0.883962351569182,0.8484905851493126,0.8743642066399788,0.8636602236985109,0.8668513189749287,0.011882493822982865,44
